repo,stars,milestones,dated_ms,issues_sampled,milestone_cov,milestoned_found,timelines_checked,retarget_rate,org_families,scope_labels,verdict,error
kubernetes/enhancements,3935,44,5,46,0.2826086956521739,32,12,0.6666666666666666,"sig,wg",triage,"STRONG — retargets, calendar, org units and a scope label",
kubernetes-sigs/cluster-api,4295,43,10,26,0.0,0,0,,area,triage,no milestoned issues anywhere,
kubernetes-sigs/kubespray,18716,20,9,28,0.03571428571428571,18,12,0.0,,triage,"REJECT — no retargeting observed, so no positive class",
kubernetes/kubernetes,125951,63,16,29,0.0,1,1,0.0,"sig,area,wg",triage,"REJECT — no retargeting observed, so no positive class",
openshift/enhancements,210,4,0,0,0.0,6,6,0.3333333333333333,,,"weak — calendar needed from outside GitHub; no org units, so cross_org and org_overcommitted cannot run; no scope label, so no S0 control; thin milestoned population",
istio/istio,38368,45,39,32,0.0,11,11,0.2727272727272727,"area,feature",,"viable — no scope label, so no S0 control; thin milestoned population",
knative/serving,6090,50,44,40,0.125,83,12,0.4166666666666667,area,triage,"STRONG — retargets, calendar, org units and a scope label",
cilium/cilium,25046,58,28,15,0.0,34,12,0.08333333333333333,"area,feature,sig",,"viable — no scope label, so no S0 control",
containerd/containerd,21240,52,19,17,0.0,29,12,0.6666666666666666,area,,"viable — no scope label, so no S0 control",
etcd-io/etcd,52222,37,27,27,0.0,63,12,0.16666666666666666,area,release,"STRONG — retargets, calendar, org units and a scope label",
argoproj/argo-cd,24065,43,28,17,0.0,37,12,0.3333333333333333,component,triage,"STRONG — retargets, calendar, org units and a scope label",
grpc/grpc,45284,60,43,11,0.09090909090909091,26,12,0.08333333333333333,,untriaged,"viable — no org units, so cross_org and org_overcommitted cannot run",
envoyproxy/envoy,28845,100,0,30,0.0,23,12,0.08333333333333333,area,"triage,release",viable — calendar needed from outside GitHub,
prometheus/prometheus,65944,12,4,29,0.0,92,12,0.08333333333333333,component,,"viable — no scope label, so no S0 control",
grafana/grafana,76565,100,0,35,0.0,1,1,0.0,"area,team",,"REJECT — no retargeting observed, so no positive class",
hashicorp/terraform,49609,39,4,28,0.0,18,12,0.3333333333333333,,,"weak — no org units, so cross_org and org_overcommitted cannot run; no scope label, so no S0 control; thin milestoned population",
helm/helm,30214,100,22,30,0.0,1,1,1.0,feature,,"viable — no scope label, so no S0 control; thin milestoned population",
open-telemetry/opentelemetry-collector,7487,100,0,25,0.0,17,12,0.08333333333333333,area,"needs triage,release",viable — calendar needed from outside GitHub; thin milestoned population,
vitessio/vitess,21289,100,27,28,0.0,0,0,,component,needs triage,no milestoned issues anywhere,
microsoft/vscode,190427,100,0,29,0.3793103448275862,49,12,0.08333333333333333,feature,"unreleased,new release",viable — calendar needed from outside GitHub,
microsoft/TypeScript,110855,100,0,69,0.6811594202898551,97,12,0.08333333333333333,,"vs code tracked,committed","viable — calendar needed from outside GitHub; no org units, so cross_org and org_overcommitted cannot run",
elastic/kibana,21277,54,39,18,0.0,74,12,0.0,"team,feature",triage_needed,"REJECT — no retargeting observed, so no positive class",
elastic/elasticsearch,77893,10,0,20,0.0,78,12,0.3333333333333333,team,,"viable — calendar needed from outside GitHub; no scope label, so no S0 control",
golang/go,137127,100,0,92,0.7934782608695652,100,12,0.4166666666666667,,release,"viable — calendar needed from outside GitHub; no org units, so cross_org and org_overcommitted cannot run",
rust-lang/rust,116984,100,15,23,0.0,5,5,0.0,wg,,"REJECT — no retargeting observed, so no positive class",
python/cpython,75597,0,0,22,0.0,0,0,,topic,release,no milestoned issues anywhere,
nodejs/node,120261,30,15,9,0.0,12,12,0.0,,,"REJECT — no retargeting observed, so no positive class",
denoland/deno,108369,70,43,44,0.0,14,12,0.08333333333333333,,,"weak — no org units, so cross_org and org_overcommitted cannot run; no scope label, so no S0 control; thin milestoned population",
JetBrains/kotlin,53375,11,0,0,0.0,0,0,,,,no milestoned issues anywhere,
dotnet/runtime,18246,100,0,96,0.6666666666666666,100,12,0.08333333333333333,area,untriaged,viable — calendar needed from outside GitHub,
dotnet/aspnetcore,38414,100,0,13,0.7692307692307693,63,12,0.4166666666666667,"area,feature",,"viable — calendar needed from outside GitHub; no scope label, so no S0 control",
flutter/flutter,178748,69,56,27,0.0,100,12,0.0,team,"triaged,release,found in release","REJECT — no retargeting observed, so no positive class",
angular/angular,101021,100,41,28,0.9642857142857143,27,12,0.3333333333333333,"area,feature",,"viable — no scope label, so no S0 control",
facebook/react,248666,39,6,13,0.0,30,12,0.08333333333333333,component,,"viable — no scope label, so no S0 control",
vuejs/core,54291,0,0,31,0.0,0,0,,,,no milestoned issues anywhere,
sveltejs/svelte,88042,8,0,30,0.03333333333333333,93,12,0.5833333333333334,,triage,"viable — calendar needed from outside GitHub; no org units, so cross_org and org_overcommitted cannot run",
apache/airflow,46699,100,37,42,0.07142857142857142,6,6,0.8333333333333334,area,,"viable — no scope label, so no S0 control; thin milestoned population",
apache/spark,43941,0,0,3,0.0,0,0,,,,no milestoned issues anywhere,
ansible/ansible,70561,15,0,37,0.0,80,12,0.5,feature,,"viable — calendar needed from outside GitHub; no scope label, so no S0 control",
saltstack/salt,15646,100,13,74,0.7837837837837838,77,12,0.08333333333333333,,,"viable — no org units, so cross_org and org_overcommitted cannot run; no scope label, so no S0 control",
godotengine/godot,116542,22,15,24,0.5,13,12,0.0,topic,,"REJECT — no retargeting observed, so no positive class",
