cut,org_id,rows,slips,slip_rate
evidenced,k8s:sig-security,1,1,1.0
evidenced,k8s:sig-cluster-lifecycle,4,2,0.5
evidenced,k8s:sig-storage,117,57,0.48717948717948717
evidenced,k8s:sig-instrumentation,45,21,0.4666666666666667
evidenced,k8s:sig-node,268,118,0.44029850746268656
evidenced,k8s:sig-network,87,36,0.41379310344827586
evidenced,k8s:sig-cli,37,15,0.40540540540540543
evidenced,k8s:sig-api-machinery,95,35,0.3684210526315789
evidenced,k8s:sig-auth,71,25,0.352112676056338
evidenced,k8s:sig-autoscaling,12,4,0.3333333333333333
evidenced,k8s:sig-release,3,1,0.3333333333333333
evidenced,k8s:sig-apps,90,30,0.3333333333333333
evidenced,k8s:sig-windows,22,7,0.3181818181818182
evidenced,k8s:sig-scheduling,89,23,0.25842696629213485
evidenced,k8s:sig-cloud-provider,9,2,0.2222222222222222
evidenced,k8s:sig-architecture,6,1,0.16666666666666666
evidenced,k8s:sig-testing,7,1,0.14285714285714285
evidenced,k8s:api-machinery,1,0,0.0
evidenced,k8s:sig-etcd,1,0,0.0
