item_id,stage,milestone_id,org_id,outcome,first_fired.process_tracked,first_fired.hollow_owner,first_fired.gate_unassigned,first_fired.cross_org,first_fired.prior_slip,first_fired.org_overcommitted,first_fired.late_target
k8s:kep-1258,alpha,k8s:v1.19,k8s:sig-scheduling,shipped,,2020-05-18T23:59:59+00:00,2020-06-15T23:59:59+00:00,,,,2020-05-18T23:59:59+00:00
k8s:kep-1412,beta,k8s:v1.19,k8s:sig-storage,shipped,,,2020-06-15T23:59:59+00:00,2020-05-18T23:59:59+00:00,,,2020-05-18T23:59:59+00:00
k8s:kep-1432,alpha,k8s:v1.19,k8s:sig-storage,slipped,2020-07-06T23:59:59+00:00,,2020-06-15T23:59:59+00:00,,,,2020-05-18T23:59:59+00:00
k8s:kep-1451,beta,k8s:v1.19,k8s:sig-scheduling,shipped,,,2020-06-15T23:59:59+00:00,,,,2020-05-25T23:59:59+00:00
k8s:kep-1472,alpha,k8s:v1.19,k8s:sig-storage,shipped,,,2020-06-15T23:59:59+00:00,2020-05-25T23:59:59+00:00,,,2020-05-25T23:59:59+00:00
k8s:kep-1682,alpha,k8s:v1.19,k8s:sig-storage,shipped,,,2020-06-15T23:59:59+00:00,,,,2020-05-25T23:59:59+00:00
k8s:kep-1698,alpha,k8s:v1.19,k8s:sig-storage,shipped,,,2020-06-15T23:59:59+00:00,,,,2020-05-25T23:59:59+00:00
k8s:kep-1710,alpha,k8s:v1.19,k8s:sig-storage,slipped,,,2020-06-15T23:59:59+00:00,2020-05-25T23:59:59+00:00,,,2020-05-25T23:59:59+00:00
k8s:kep-1739,alpha,k8s:v1.19,k8s:sig-cluster-lifecycle,unresolved,,,2020-06-15T23:59:59+00:00,,,,2020-05-18T23:59:59+00:00
k8s:kep-1790,alpha,k8s:v1.19,k8s:sig-storage,slipped,,,2020-06-15T23:59:59+00:00,2020-05-25T23:59:59+00:00,,,2020-05-25T23:59:59+00:00
k8s:kep-266,stable,k8s:v1.19,k8s:sig-auth,shipped,,,2020-06-15T23:59:59+00:00,2020-05-18T23:59:59+00:00,,,2020-05-18T23:59:59+00:00
k8s:kep-695,beta,k8s:v1.19,k8s:sig-storage,slipped,2020-06-15T23:59:59+00:00,,2020-06-15T23:59:59+00:00,2020-05-18T23:59:59+00:00,,,2020-05-18T23:59:59+00:00
k8s:kep-785,beta,k8s:v1.19,k8s:sig-scheduling,shipped,,,2020-06-15T23:59:59+00:00,2020-05-25T23:59:59+00:00,,,2020-05-25T23:59:59+00:00
k8s:kep-895,stable,k8s:v1.19,k8s:sig-scheduling,shipped,,,2020-06-15T23:59:59+00:00,2020-05-25T23:59:59+00:00,,,2020-05-25T23:59:59+00:00
k8s:kep-902,beta,k8s:v1.19,k8s:sig-scheduling,shipped,,,2020-06-15T23:59:59+00:00,,,,2020-05-25T23:59:59+00:00
k8s:kep-1001,stable,k8s:v1.20,k8s:sig-windows,shipped,,,2020-10-19T23:59:59+00:00,,,,2020-10-05T23:59:59+00:00
k8s:kep-1020,stable,k8s:v1.20,k8s:sig-cli,shipped,,,2020-10-19T23:59:59+00:00,,,,2020-10-05T23:59:59+00:00
k8s:kep-1164,beta,k8s:v1.20,k8s:sig-api-machinery,shipped,,2020-10-19T23:59:59+00:00,2020-10-19T23:59:59+00:00,2020-09-14T23:59:59+00:00,,,
k8s:kep-1258,beta,k8s:v1.20,k8s:sig-scheduling,shipped,,2020-09-14T23:59:59+00:00,2020-10-19T23:59:59+00:00,,,,
k8s:kep-1432,beta,k8s:v1.20,k8s:sig-storage,slipped,2020-09-14T23:59:59+00:00,2020-09-14T23:59:59+00:00,2020-10-19T23:59:59+00:00,,,2020-09-14T23:59:59+00:00,
k8s:kep-1441,beta,k8s:v1.20,k8s:sig-cli,shipped,,,2020-10-19T23:59:59+00:00,2020-10-05T23:59:59+00:00,,,2020-10-05T23:59:59+00:00
k8s:kep-1507,stable,k8s:v1.20,k8s:sig-network,shipped,,,2020-10-19T23:59:59+00:00,,,,2020-10-12T23:59:59+00:00
k8s:kep-1591,alpha,k8s:v1.20,k8s:sig-apps,slipped,,,2020-10-19T23:59:59+00:00,2020-10-05T23:59:59+00:00,,,2020-10-05T23:59:59+00:00
k8s:kep-1602,beta,k8s:v1.20,k8s:sig-instrumentation,slipped,2020-09-14T23:59:59+00:00,2020-09-14T23:59:59+00:00,2020-10-19T23:59:59+00:00,2020-09-14T23:59:59+00:00,,,
k8s:kep-1682,beta,k8s:v1.20,k8s:sig-storage,shipped,2020-09-14T23:59:59+00:00,2020-09-14T23:59:59+00:00,2020-10-19T23:59:59+00:00,,,2020-09-14T23:59:59+00:00,
k8s:kep-1710,beta,k8s:v1.20,k8s:sig-storage,slipped,2020-09-14T23:59:59+00:00,2020-09-14T23:59:59+00:00,2020-10-19T23:59:59+00:00,2020-09-14T23:59:59+00:00,,2020-09-14T23:59:59+00:00,
k8s:kep-1739,beta,k8s:v1.20,k8s:sig-cluster-lifecycle,slipped,2020-09-14T23:59:59+00:00,2020-09-14T23:59:59+00:00,2020-10-19T23:59:59+00:00,,,,
k8s:kep-1769,alpha,k8s:v1.20,k8s:sig-node,slipped,,,2020-10-19T23:59:59+00:00,,,,2020-10-05T23:59:59+00:00
k8s:kep-177,stable,k8s:v1.20,k8s:sig-storage,shipped,,,2020-10-19T23:59:59+00:00,,,2020-09-14T23:59:59+00:00,
k8s:kep-1790,beta,k8s:v1.20,k8s:sig-storage,slipped,2020-09-14T23:59:59+00:00,2020-09-14T23:59:59+00:00,2020-10-19T23:59:59+00:00,2020-09-14T23:59:59+00:00,,2020-09-14T23:59:59+00:00,
