cut,param,value,a_priori,signal,fired,precision,lift,lift_ci_lo,lift_ci_hi,median_lead_weeks,lead_class
evidenced,N,4,False,hollow_owner,563,0.4724689165186501,1.2029881383654282,1.1418435152129176,1.2686196661350184,6.428571428571429,risk
evidenced,N,4,False,item_silent,265,0.6377358490566037,1.6237865286005873,1.4861289080773932,1.7605459797203713,8.142857142857142,risk
evidenced,N,6,False,hollow_owner,397,0.5390428211586902,1.3724968929238417,1.2792027601872382,1.4697396014773965,8.142857142857142,risk
evidenced,N,6,False,item_silent,177,0.768361581920904,1.956382391962196,1.788727284970891,2.1280936819527394,8.285714285714286,risk
evidenced,N,8,True,hollow_owner,310,0.5838709677419355,1.4866371606094135,1.3572635021720296,1.5976566753598884,8.214285714285715,risk
evidenced,N,8,True,item_silent,126,0.8412698412698413,2.142019516689701,1.974275238902727,2.358479347873182,8.214285714285715,risk
evidenced,N,10,False,hollow_owner,248,0.6290322580645161,1.6016256702698102,1.47668374521652,1.7516422066177195,7.428571428571429,risk
evidenced,N,10,False,item_silent,87,0.8735632183908046,2.2242440784884603,2.0126877406931967,2.4497645285454848,7.285714285714286,risk
evidenced,N,12,False,hollow_owner,207,0.6376811594202898,1.623647279262743,1.478611344495692,1.80257849963625,7.285714285714286,risk
evidenced,N,12,False,item_silent,61,0.8688524590163934,2.212249664777888,1.9461901887232818,2.482241325169035,6.142857142857143,risk
evidenced,M,2,False,gate_unassigned,206,0.7427184466019418,1.8910905038809334,1.7488904213155694,2.0813444610293916,1.2857142857142858,status
evidenced,M,3,False,gate_unassigned,209,0.7464114832535885,1.900493618310588,1.757895769361192,2.08911697992215,2.2857142857142856,status
evidenced,M,4,True,gate_unassigned,217,0.7327188940092166,1.8656299016329658,1.724477692973987,2.0399785606997196,3.2857142857142856,status
evidenced,M,6,False,gate_unassigned,266,0.6654135338345865,1.6942587339060051,1.5671015688433605,1.8367970519217136,5.285714285714286,risk
evidenced,M,8,False,gate_unassigned,301,0.6046511627906976,1.539547155918267,1.4213059216516457,1.6664817251775317,7.285714285714286,risk
evidenced,K,1,False,late_target,461,0.3297180043383948,0.8395194569565989,0.768676856116923,0.9158722743117903,4.571428571428571,risk
evidenced,K,2,False,late_target,560,0.325,0.8275065963060686,0.7649782782998769,0.8979550993707527,4.571428571428571,risk
evidenced,K,3,True,late_target,611,0.31260229132569556,0.795939871053552,0.7493424388627048,0.8518296572242591,5.285714285714286,risk
evidenced,K,4,False,late_target,636,0.3081761006289308,0.7846700187517631,0.7397208209256755,0.8415023230379299,5.285714285714286,risk
evidenced,K,6,False,late_target,657,0.3013698630136986,0.7673401525282827,0.7268058057015679,0.8222618823166892,5.285714285714286,risk
full,N,4,False,hollow_owner,770,0.34545454545454546,1.1439194051331256,1.0912840501643895,1.2065870889531574,6.5,risk
full,N,4,False,item_silent,377,0.4482758620689655,1.484396324265308,1.3445157584685952,1.6392049275513452,8.142857142857142,risk
full,N,6,False,hollow_owner,553,0.38698010849909587,1.281424897536584,1.1780892516956716,1.3800422503487562,7.428571428571429,risk
full,N,6,False,item_silent,251,0.5418326693227091,1.7941952506596306,1.6155471022313785,1.9745701752097942,8.142857142857142,risk
full,N,8,True,hollow_owner,431,0.419953596287703,1.3906115127732646,1.2699826709896906,1.515183582040193,8.142857142857142,risk
full,N,8,True,item_silent,174,0.6091954022988506,2.017256543232342,1.8223808303981865,2.2542085149568036,8.285714285714286,risk
full,N,10,False,hollow_owner,342,0.45614035087719296,1.5104383650418922,1.3475226113786445,1.644824124647534,7.428571428571429,risk
full,N,10,False,item_silent,119,0.6386554621848739,2.1148089842797275,1.8812021493490543,2.4259301486732503,7.285714285714286,risk
full,N,12,False,hollow_owner,292,0.4520547945205479,1.4969096757870386,1.325160351253149,1.650156827683135,7.285714285714286,risk
full,N,12,False,item_silent,91,0.5824175824175825,1.9285859259474036,1.6576559709685714,2.235593161848706,6.285714285714286,risk
full,M,2,False,gate_unassigned,286,0.534965034965035,1.7714541395280183,1.6198015340846312,1.9447017128020236,1.2857142857142858,status
full,M,3,False,gate_unassigned,289,0.5397923875432526,1.7874391724717207,1.6416887283302786,1.9664968940476057,2.2857142857142856,status
full,M,4,True,gate_unassigned,299,0.5317725752508361,1.760882801951977,1.609015442905848,1.9276649064505502,3.2857142857142856,status
full,M,6,False,gate_unassigned,367,0.4822888283378747,1.5970250120423028,1.4635860375694059,1.7498053405439515,5.285714285714286,risk
full,M,8,False,gate_unassigned,415,0.43855421686746987,1.4522045967511206,1.322232139066521,1.5881321669783206,7.285714285714286,risk
full,K,1,False,late_target,588,0.2585034013605442,0.8559941126846518,0.7615418822878854,0.9454694112359033,4.571428571428571,risk
full,K,2,False,late_target,709,0.2566995768688293,0.8500210263070734,0.7716289173456685,0.9285232509330633,4.571428571428571,risk
full,K,3,True,late_target,772,0.24740932642487046,0.8192577959451516,0.7500606183467843,0.8927919443787652,5.285714285714286,risk
full,K,4,False,late_target,808,0.24257425742574257,0.8032472112646621,0.7405571551697159,0.8693415145584321,5.285714285714286,risk
full,K,6,False,late_target,838,0.23627684964200477,0.7823943174161372,0.7146243873137726,0.8487215630450317,5.285714285714286,risk
