cut,eval,signals,size,fired,fired_pct,precision,recall,lift,lift_ci_lo,lift_ci_hi,jaccard,subset
evidenced,first_fired,item_silent,1,121,0.1415204678362573,0.8677685950413223,0.2830188679245283,1.9998440667394355,1.8278166359799137,2.1846373711199885,,
evidenced,first_fired,gate_unassigned,1,212,0.247953216374269,0.7452830188679245,0.42587601078167114,1.7175659868789095,1.5804428633025938,1.8747965991676898,,
evidenced,first_fired,hollow_owner,1,282,0.3298245614035088,0.6312056737588653,0.4797843665768194,1.4546653667488674,1.3468254782619458,1.5803072645250202,,
evidenced,first_fired,process_tracked,1,528,0.6175438596491228,0.4943181818181818,0.7035040431266847,1.1391968880176429,1.0792369533455861,1.2008509260884832,,
evidenced,first_fired,gate_unassigned AND item_silent,2,100,0.11695906432748537,0.94,0.25336927223719674,2.1663072776280323,1.997931198846726,2.3671026005336215,0.4291845493562232,
evidenced,first_fired,gate_unassigned AND hollow_owner,2,146,0.17076023391812867,0.8767123287671232,0.3450134770889488,2.020455636377063,1.8612259142489285,2.20962139494608,0.41954022988505746,
evidenced,first_fired,item_silent AND process_tracked,2,116,0.13567251461988303,0.8706896551724138,0.2722371967654987,2.006575889952598,1.8360608856442955,2.194410060741363,0.2176360225140713,
evidenced,first_fired,hollow_owner AND item_silent,2,121,0.1415204678362573,0.8677685950413223,0.2830188679245283,1.9998440667394355,1.8381549334255902,2.171206447611434,0.42907801418439717,item_silent ⊆ hollow_owner
evidenced,first_fired,gate_unassigned AND process_tracked,2,163,0.19064327485380117,0.8650306748466258,0.38005390835579517,1.993534304565674,1.8312156271231823,2.1705819034934426,0.2824956672443674,
evidenced,first_fired,hollow_owner AND process_tracked,2,221,0.2584795321637427,0.7013574660633484,0.41778975741239893,1.616335939310412,1.487319064158544,1.769694330437015,0.37521222410865873,
evidenced,first_fired,gate_unassigned AND hollow_owner AND item_silent,3,100,0.11695906432748537,0.94,0.25336927223719674,2.1663072776280323,1.995232802295993,2.3651559111687366,,
evidenced,first_fired,gate_unassigned AND item_silent AND process_tracked,3,97,0.11345029239766082,0.9381443298969072,0.24528301886792453,2.162030733320366,1.9823145039915164,2.370313174530896,,
evidenced,first_fired,gate_unassigned AND hollow_owner AND process_tracked,3,137,0.16023391812865498,0.8832116788321168,0.3261455525606469,2.035433922914986,1.874970284454185,2.2156524637789934,,
evidenced,first_fired,hollow_owner AND item_silent AND process_tracked,3,116,0.13567251461988303,0.8706896551724138,0.2722371967654987,2.006575889952598,1.822714265503146,2.1813396274499373,,
