cut,eval,signal,rows,base_rate,fired,precision,recall,lift,median_lead_weeks,lead_q1,lead_q3,lead_class,precision_ci_lo,precision_ci_hi,lift_ci_lo,lift_ci_hi
full,at_freeze,cross_org,1105,0.3357466063348416,516,0.3391472868217054,0.4716981132075472,1.0101287114231388,,,,n/a,0.3009561076451696,0.3777914110429448,0.9254936414761648,1.1008728534722836
full,at_freeze,dep_inactive,1105,0.3357466063348416,71,0.323943661971831,0.06199460916442048,0.9648456778406288,,,,n/a,0.2166346153846154,0.4189531923227575,0.639377272311153,1.244450594524028
full,at_freeze,dep_ordering_conflict,1105,0.3357466063348416,18,0.2777777777777778,0.013477088948787063,0.8273435160227615,,,,n/a,0.07142857142857142,0.47619047619047616,0.20545023799331377,1.4414301160937855
full,at_freeze,gate_unassigned,1105,0.3357466063348416,265,0.569811320754717,0.40700808625336926,1.6971469256980116,,,,n/a,0.5113532680822827,0.6255080397833128,1.531486840080037,1.8565344182027652
full,at_freeze,hollow_owner,1105,0.3357466063348416,244,0.5081967213114754,0.33423180592991913,1.5136317440678717,,,,n/a,0.4468371670702179,0.5690393577575944,1.3589233965197003,1.677662815570744
full,at_freeze,item_silent,1105,0.3357466063348416,95,0.6526315789473685,0.16711590296495957,1.9438218186976879,,,,n/a,0.5591397849462365,0.7433957823385426,1.6765530174456882,2.2196610105145185
full,at_freeze,late_target,1105,0.3357466063348416,671,0.27123695976154993,0.49056603773584906,0.8078621038720019,,,,n/a,0.23671822735653564,0.3044822897175928,0.738627530194311,0.8765594944600951
full,at_freeze,org_overcommitted,1105,0.3357466063348416,816,0.3492647058823529,0.7681940700808625,1.0402628032345014,,,,n/a,0.31724528523934215,0.383497227774605,0.9920023082814108,1.0855311727108816
full,at_freeze,prior_slip,1105,0.3357466063348416,417,0.3597122302158273,0.40431266846361186,1.0713800926913457,,,,n/a,0.3135690235690236,0.4054160101805842,0.960989220755006,1.1806685558559535
full,at_freeze,process_tracked,1105,0.3357466063348416,448,0.47098214285714285,0.568733153638814,1.402790479399307,,,,n/a,0.426007947128104,0.5191399710542517,1.3027174313413485,1.5008808955278214
